Name,Year,Selling_Price,KM_Driven,Fuel,Seller_Type,Transmission,Owner
Maruti,2011,160000,155000,Petrol,Individual,Manual,First Owner
Mahindra,2019,860000,35000,Diesel,Individual,Manual,First Owner
Hyundai,2018,650000,20000,Petrol,Individual,Manual,Second Owner
Maruti,2010,100000,80000,Petrol,Individual,Manual,Second Owner
Maruti,2017,282000,20000,Petrol,Individual,Manual,First Owner
Hyundai,2009,300000,50000,Petrol,Individual,Manual,First Owner
Hyundai,2010,270000,110000,Petrol,Individual,Manual,Second Owner
Hyundai,2013,550000,29000,Diesel,Individual,Manual,First Owner
Mahindra,2013,450000,120000,Diesel,Individual,Manual,First Owner
Mahindra,2011,430000,70000,Diesel,Individual,Manual,Second Owner
Maruti,2013,350000,40000,Petrol,Individual,Manual,First Owner
Honda,2017,350000,20000,Petrol,Individual,Manual,First Owner
Toyota,2013,229999,50000,Petrol,Individual,Manual,Second Owner
Maruti,2013,110000,50000,Petrol,Individual,Manual,First Owner
Maruti,2012,395000,49000,Petrol,Individual,Manual,Second Owner
Mahindra,2011,650000,70000,Diesel,Individual,Automatic,Second Owner
Mahindra,2011,350000,90000,Diesel,Individual,Manual,Second Owner
Mahindra,2020,1400000,25000,Diesel,Dealer,Manual,First Owner
Tata,2018,360000,4000,Petrol,Individual,Manual,First Owner
Mahindra,2018,1300000,10000,Diesel,Individual,Manual,First Owner
Renault,2015,800000,15000,Diesel,Individual,Manual,First Owner
Hyundai,2018,229999,30000,Petrol,Individual,Manual,First Owner
Maruti,2014,315000,41000,Petrol,Dealer,Manual,First Owner
Chevrolet,2012,125000,28000,Petrol,Individual,Manual,First Owner
Maruti,2019,700000,16000,Petrol,Individual,Manual,First Owner
Hyundai,2015,160000,70000,Petrol,Individual,Manual,First Owner
Ford,2017,530000,10832,Petrol,Dealer,Manual,First Owner
Ford,2018,624000,14681,Diesel,Dealer,Manual,First Owner
Hyundai,2009,250000,50000,Petrol,Individual,Manual,First Owner
Mahindra,2016,585000,51000,Diesel,Dealer,Manual,First Owner
Hyundai,2015,500000,25000,Petrol,Individual,Manual,First Owner
Chevrolet,2014,350000,30000,Petrol,Individual,Manual,First Owner
Honda,2014,495000,80000,Diesel,Dealer,Manual,First Owner
Hyundai,2017,500000,50000,Petrol,Individual,Manual,First Owner
Mahindra,2015,430000,200000,Diesel,Individual,Manual,First Owner
Hyundai,2013,345000,44000,Petrol,Dealer,Manual,First Owner
Maruti,2015,500000,10000,Petrol,Individual,Manual,First Owner
Tata,2019,425000,19600,Petrol,Individual,Manual,First Owner
Maruti,2005,80000,40000,Petrol,Individual,Manual,Second Owner
Chevrolet,2011,106000,50000,Diesel,Individual,Manual,First Owner
Maruti,2009,180000,46730,Petrol,Individual,Manual,First Owner
Datsun,2015,250000,40000,Petrol,Individual,Manual,Second Owner
Skoda,2011,350000,80000,Diesel,Individual,Manual,First Owner
Maruti,2002,60000,80000,Petrol,Individual,Manual,Second Owner
Hyundai,2018,900000,24000,Diesel,Individual,Manual,First Owner
Ford,2017,700000,21170,Diesel,Dealer,Manual,First Owner
BMW,2013,2000000,167223,Diesel,Dealer,Automatic,First Owner
Maruti,2017,1000000,40000,Diesel,Individual,Manual,First Owner
BMW,2011,1375000,60000,Diesel,Individual,Automatic,First Owner
Toyota,2016,1800000,141440,Diesel,Dealer,Manual,First Owner
Chevrolet,2007,160000,120000,Diesel,Individual,Manual,Third Owner
Mitsubishi,2012,525000,140000,Petrol,Individual,Automatic,First Owner
Mahindra,2012,850000,212814,Diesel,Dealer,Manual,First Owner
Maruti,2019,800000,30000,Diesel,Individual,Manual,First Owner
Ford,2017,700000,88635,Diesel,Dealer,Manual,First Owner
Maruti,2018,800000,25000,Diesel,Individual,Manual,First Owner
Hyundai,2017,575000,20000,Petrol,Individual,Manual,Second Owner
Renault,2012,350000,110000,Diesel,Individual,Manual,Second Owner
Maruti,2008,250000,120000,Diesel,Individual,Manual,Third Owner
Ford,2011,600000,149674,Diesel,Dealer,Manual,Second Owner
Mahindra,2007,370000,100000,Diesel,Individual,Manual,Third Owner
Maruti,2006,80000,120000,Petrol,Individual,Manual,Third Owner
Tata,2003,50000,120000,Diesel,Individual,Manual,Second Owner
Hyundai,2018,900000,25000,Diesel,Individual,Manual,First Owner
Maruti,2014,300000,35000,Petrol,Individual,Manual,Second Owner
Tata,2002,125000,40000,Petrol,Individual,Manual,First Owner
Maruti,2015,490000,60000,Diesel,Individual,Manual,Second Owner
Toyota,2012,300000,50000,Diesel,Individual,Manual,Second Owner
Tata,2013,55000,25000,Petrol,Individual,Manual,Fourth & Above Owner
Hyundai,2016,350000,25000,Petrol,Individual,Manual,First Owner
Hyundai,2019,755000,8000,Diesel,Individual,Manual,First Owner
Maruti,2017,720000,60000,Diesel,Individual,Manual,First Owner
Mahindra,2006,229999,200000,Diesel,Individual,Manual,Third Owner
Mahindra,2018,1100000,20000,Diesel,Individual,Manual,First Owner
Volkswagen,2013,400000,100000,Petrol,Individual,Manual,First Owner
Hyundai,2015,350000,70000,Diesel,Individual,Manual,Second Owner
Chevrolet,2012,159000,68000,Diesel,Dealer,Manual,First Owner
Maruti,2017,550000,38000,Petrol,Dealer,Manual,First Owner
Maruti,2013,335000,80000,Diesel,Dealer,Manual,First Owner
Tata,2014,185000,72000,CNG,Dealer,Manual,First Owner
Maruti,2012,229999,75000,CNG,Dealer,Manual,First Owner
Maruti,2014,225000,43000,Petrol,Dealer,Manual,First Owner
Maruti,2007,250000,120000,Petrol,Individual,Manual,Second Owner
Tata,2015,400000,100000,Diesel,Individual,Manual,First Owner
Maruti,2014,470000,163000,Diesel,Individual,Manual,First Owner
Maruti,2018,300000,25000,Petrol,Individual,Automatic,First Owner
Maruti,2011,145000,25000,Petrol,Individual,Manual,First Owner
Maruti,2007,100000,90000,Petrol,Individual,Manual,Second Owner
Mahindra,2014,500000,70000,Diesel,Individual,Manual,Second Owner
Hyundai,2010,130000,98000,CNG,Individual,Manual,Second Owner
Chevrolet,2010,240000,81925,Diesel,Individual,Manual,First Owner
Ford,2013,150000,80000,Diesel,Individual,Manual,Second Owner
Renault,2017,270000,40000,Petrol,Individual,Manual,First Owner
Maruti,2014,400000,90000,Diesel,Individual,Manual,First Owner
Hyundai,2012,200000,46000,Petrol,Individual,Manual,First Owner
Mahindra,2012,550000,80000,Diesel,Individual,Manual,First Owner
Renault,2018,325000,35000,Petrol,Individual,Manual,First Owner
Skoda,2017,860000,82080,Diesel,Individual,Automatic,First Owner
Mahindra,2012,600000,200000,Diesel,Individual,Manual,First Owner
Chevrolet,2009,125000,70000,Petrol,Individual,Manual,First Owner
Maruti,2000,60000,40000,Petrol,Individual,Manual,Third Owner
Chevrolet,2010,300000,120000,Diesel,Individual,Manual,Third Owner
Ford,2007,190000,60000,Petrol,Individual,Manual,Third Owner
Maruti,2013,400000,110000,Diesel,Individual,Manual,First Owner
Tata,2011,260000,97000,Diesel,Individual,Manual,Second Owner
Maruti,2017,400000,30000,Petrol,Individual,Manual,First Owner
Hyundai,2010,250000,40000,Petrol,Individual,Manual,First Owner
Hyundai,2019,600000,10000,Petrol,Individual,Manual,First Owner
Maruti,2010,175000,52047,Petrol,Individual,Manual,First Owner
Toyota,2011,450000,200000,Diesel,Individual,Manual,Third Owner
Tata,2019,350000,15000,Petrol,Individual,Automatic,Second Owner
Maruti,2018,800000,50000,Diesel,Individual,Manual,First Owner
Maruti,2011,250000,70000,Petrol,Individual,Manual,Second Owner
Maruti,2019,600000,10000,Petrol,Individual,Manual,First Owner
Maruti,2017,600000,90000,Diesel,Individual,Manual,First Owner
Maruti,2016,130000,40000,Petrol,Individual,Manual,First Owner
Maruti,2006,90000,62009,Petrol,Individual,Manual,Second Owner
Hyundai,2017,595000,33100,Petrol,Individual,Manual,Second Owner
Hyundai,2014,190000,40000,Petrol,Individual,Manual,Second Owner
Hyundai,1999,50000,120000,Petrol,Individual,Manual,Second Owner
Maruti,2007,95000,80000,Petrol,Individual,Manual,First Owner
Tata,2016,1000000,70000,Diesel,Individual,Manual,First Owner
Mahindra,2006,220000,220000,Petrol,Individual,Manual,Second Owner
Mahindra,2010,400000,50000,Diesel,Individual,Manual,First Owner
Datsun,2015,315000,45000,Petrol,Individual,Manual,Second Owner
Toyota,2014,1000000,110000,Diesel,Individual,Manual,First Owner
Ford,2014,500000,49000,Diesel,Individual,Manual,First Owner
Mahindra,2018,1600000,35000,Diesel,Individual,Automatic,First Owner
Mahindra,2017,500000,160000,Diesel,Individual,Manual,First Owner
Maruti,2007,70000,180000,Petrol,Individual,Manual,Third Owner
Maruti,2007,105000,60000,Petrol,Individual,Manual,Second Owner
Ford,2008,400000,110000,Diesel,Individual,Manual,Third Owner
Maruti,2004,80000,60000,Petrol,Individual,Manual,Third Owner
Maruti,2016,300000,30000,Petrol,Individual,Manual,First Owner
Mahindra,2017,409999,40000,Diesel,Individual,Manual,First Owner
Maruti,2009,250000,70000,Petrol,Individual,Manual,First Owner
Tata,2010,250000,120000,Diesel,Individual,Manual,Second Owner
Maruti,2012,215000,80000,Diesel,Individual,Manual,Third Owner
Toyota,2015,1400000,120000,Diesel,Individual,Manual,First Owner
Honda,2018,475000,20000,Petrol,Individual,Manual,First Owner
Honda,2018,475000,22000,Petrol,Individual,Manual,First Owner
Chevrolet,2008,75000,35000,Petrol,Individual,Manual,Second Owner
Chevrolet,2013,200000,120000,Diesel,Individual,Manual,Second Owner
Tata,2019,575000,8000,Petrol,Individual,Manual,First Owner
Maruti,2011,150000,40000,Diesel,Individual,Manual,Second Owner
Maruti,2018,850000,10000,Diesel,Individual,Manual,First Owner
Hyundai,2019,350000,30000,Petrol,Individual,Manual,First Owner
Ford,2011,550000,54000,Diesel,Individual,Manual,Second Owner
